type,package,filename,lazy-1,lazy-2,strict
test,aster2,constancy,TRUE,TRUE,TRUE
test,aster2,echinacea,TRUE,TRUE,TRUE
test,aster2,echinacea-cond,TRUE,TRUE,TRUE
test,aster2,fam-degen,TRUE,TRUE,TRUE
test,aster2,families,TRUE,TRUE,TRUE
test,aster2,logl,TRUE,TRUE,TRUE
test,aster2,subset,TRUE,TRUE,TRUE
test,aster2,transform,TRUE,TRUE,TRUE
test,aster2,valid,TRUE,TRUE,TRUE
test,aster2,zeros,TRUE,TRUE,TRUE
test,automap,autoKrige.cv,TRUE,TRUE,TRUE
test,automap,automap,TRUE,TRUE,TRUE
test,basefun,Bernstein-Ex,TRUE,TRUE,TRUE
test,basefun,bases-Ex,TRUE,TRUE,TRUE
test,basefun,formula,TRUE,FALSE,FALSE
test,basefun,predict,TRUE,TRUE,TRUE
test,bayesLife,run_tests,TRUE,TRUE,TRUE
test,bayesLife,test_functions,TRUE,TRUE,TRUE
test,bayesTFR,run_tests,TRUE,TRUE,TRUE
test,bayesTFR,test_functions,TRUE,TRUE,TRUE
test,bedr,test.all,TRUE,TRUE,TRUE
test,bedr,test.convert2bed,TRUE,TRUE,TRUE
test,bedr,test.determine.input,TRUE,TRUE,TRUE
test,bedr,test.in.region,TRUE,TRUE,TRUE
test,bedr,test.index2bed,TRUE,TRUE,TRUE
test,bedr,test.is.merged.region,TRUE,TRUE,TRUE
test,bedr,test.is.sorted.region,TRUE,TRUE,TRUE
test,bedr,test.is.valid.region,TRUE,TRUE,TRUE
test,bedr,test.process.input,TRUE,TRUE,TRUE
test,bedr,test.sort.region,TRUE,TRUE,TRUE
test,bedr,test.tabix,TRUE,TRUE,TRUE
test,bfp,dep,TRUE,TRUE,TRUE
test,bfp,shrinkage,TRUE,TRUE,TRUE
test,bfp,test,TRUE,TRUE,TRUE
test,bfp,testSimulation,TRUE,TRUE,TRUE
test,blavaan,tinytest,TRUE,TRUE,TRUE
test,blockmodels,BM_bernoulli,TRUE,TRUE,TRUE
test,blockmodels,BM_bernoulli_covariates,TRUE,TRUE,TRUE
test,blockmodels,BM_bernoulli_covariates_fast,TRUE,TRUE,TRUE
test,blockmodels,BM_bernoulli_multiplex,TRUE,TRUE,TRUE
test,blockmodels,BM_gaussian,TRUE,TRUE,TRUE
test,blockmodels,BM_gaussian_covariates,TRUE,TRUE,TRUE
test,blockmodels,BM_gaussian_multivariate,TRUE,TRUE,TRUE
test,blockmodels,BM_gaussian_multivariate_independent,TRUE,TRUE,TRUE
test,blockmodels,BM_gaussian_multivariate_independent_homoscedastic,TRUE,TRUE,TRUE
test,blockmodels,BM_poisson,TRUE,TRUE,TRUE
test,blockmodels,BM_poisson_covariates,TRUE,TRUE,TRUE
test,bnviewer,alarm,TRUE,TRUE,TRUE
test,bnviewer,clusters,TRUE,TRUE,TRUE
test,bnviewer,coronary,TRUE,TRUE,TRUE
test,bnviewer,gaussian,TRUE,TRUE,TRUE
test,bnviewer,insurance,TRUE,TRUE,TRUE
test,bpcp,FirstObsCensored,TRUE,TRUE,TRUE
test,bpcp,abmmWarningTest,TRUE,TRUE,TRUE
test,bpcp,tests,TRUE,TRUE,TRUE
test,cartography,tinytest,TRUE,FALSE,FALSE
test,cccp,doRUnit,TRUE,TRUE,TRUE
test,censReg,censRegFail,TRUE,TRUE,TRUE
test,censReg,censRegPanelLargerTest,TRUE,TRUE,TRUE
test,censReg,censRegPanelTest,TRUE,TRUE,TRUE
test,censReg,censRegTest,TRUE,TRUE,TRUE
test,cgdsr,runTests,TRUE,TRUE,TRUE
test,cgdsr,test_cgdsr,TRUE,TRUE,TRUE
test,chebpol,all,TRUE,TRUE,TRUE
test,chipPCR,spelling,TRUE,TRUE,TRUE
test,chngpt,doRUnit,TRUE,FALSE,FALSE
test,climdex.pcic,bootstrap,TRUE,TRUE,TRUE
test,climdex.pcic,test_helper_functions,TRUE,TRUE,TRUE
